"id","name","category_id","price","stock"
"181","Speaker 846","1","1481342","11"
"182","Botol Minum 731","12","3441930","5"
"183","Kaos 44","3","4560626","96"
"184","Meja 525","4","2248066","0"
"185","Microwave 726","1","1594952","49"
"186","Sepeda 461","5","683305","51"
"187","Sepeda 819","5","4468565","59"
"188","Kamera 224","1","2831474","82"
"189","Komik 176","2","525979","33"
"190","Tablet 678","1","4593947","48"
"191","Meja 205","4","3067879","46"
"192","Sepatu 124","3","2036674","42"
"193","Kamera 530","1","2107330","28"
"194","Laptop 306","1","2983081","11"
"195","Meja 707","4","4391222","95"
"196","Laptop 807","1","2456833","11"
"197","Majalah 479","2","2310140","90"
"198","Kaos 346","3","2750017","87"
"199","Jaket 648","3","4291443","43"
"200","Kulkas 753","1","433079","58"
"201","Kamera 459","1","3165291","11"
"202","Kaos 867","3","2951748","46"
"203","Pulpen 175","6","3246060","68"
"204","Mouse 326","1","4513057","70"
"205","Jam Tangan 594","4","3797611","41"
"206","Powerbank 465","1","1872505","12"
"207","Jam Tangan 558","7","2591670","41"
"208","Komik 876","2","3069489","51"
"209","Buku Tulis 478","2","2745735","64"
"210","Powerbank 391","1","4533962","12"
"211","Powerbank 46","1","2689204","48"
"212","Tablet 8","1","1535035","25"
"213","Mouse 296","1","3974529","4"
"214","Kamera 407","1","4924862","54"
"215","Buku Tulis 707","2","3497520","55"
"216","Sandal 591","3","3562905","96"
"217","Headset 957","1","2955542","90"
"218","Laptop 673","1","1902078","64"
"219","Kamera 286","1","4403573","50"
"220","Headset 972","1","2084876","81"
"221","Kulkas 229","1","2739820","7"
"222","Meja 609","4","1988960","85"
"223","Jaket 959","3","4465562","44"
"224","Flashdisk 367","1","2521393","77"
"225","Jam Tangan 693","2","1576188","71"
"226","Headset 748","1","2260237","83"
"227","Buku Tulis 290","2","362151","47"
"228","Kursi 417","4","3183256","30"
"229","Monitor 863","1","4707231","4"
"230","Smartphone 405","1","371945","30"
"231","Mouse 759","1","3778702","65"
"232","Sepatu 789","3","3595527","20"
"233","Kaos 275","3","4929919","45"
"234","Botol Minum 286","4","582216","55"
"235","Mouse 33","1","3096640","54"
"236","Sandal 301","3","1293207","37"
"237","Pulpen 181","6","1763628","34"
"238","Lampu Meja 686","4","2599209","83"
"239","Mouse 337","1","2958269","57"
"240","Speaker 255","1","2933715","17"
"241","Kursi 979","4","2237701","93"
"242","Kaos 977","3","1558870","52"
"243","Jaket 90","3","1909285","44"
"244","Botol Minum 166","15","4172317","0"
"245","Kaos 420","3","4717763","74"
"246","Botol Minum 471","7","1536996","31"
"247","Sepatu 841","3","1049884","40"
"248","Printer 715","1","4480726","4"
"249","Speaker 314","1","1043077","64"
"250","Helm 97","3","3871297","92"
"251","Lampu Meja 606","4","1873843","11"
"252","Kulkas 112","1","2107483","21"
"253","Kamera 511","1","4179360","36"
"254","Majalah 930","2","4103419","99"
"255","Helm 316","3","497832","38"
"256","Majalah 592","2","1557808","43"
"257","Headset 461","1","248142","61"
"258","Lampu Meja 412","4","890018","92"
"259","Komik 734","2","3456148","36"
"260","Microwave 5","1","640207","98"
"261","Microwave 490","1","1418989","42"
"262","Tablet 927","1","2797094","53"
"263","Helm 193","3","3662104","16"
"264","Smartphone 863","1","805072","54"
"265","Kacamata 140","3","3438148","44"
"266","Kamera 164","1","4008259","3"
"267","Smartphone 264","1","1436504","22"
"268","Helm 770","3","1353874","15"
"269","Pulpen 380","6","4758644","29"
"270","Headset 563","1","2167119","57"
"271","Tas 872","3","1456621","60"
"272","Monitor 905","1","644004","86"
"273","Pulpen 438","6","44037","41"
"274","Kursi 760","4","1526296","12"
"275","Earphone 668","1","3578726","21"
"276","Helm 973","3","1513225","78"
"277","Flashdisk 677","1","856631","22"
"278","Lampu Meja 957","4","2292466","24"
"279","Speaker 935","1","69404","86"
"280","Microwave 888","1","3837524","27"
"281","Jaket 300","3","4970542","11"
"282","Keyboard 640","1","4798133","30"
"283","Headset 748","1","3838901","37"
"284","Monitor 955","1","999690","51"
"285","Lampu Meja 356","4","1797082","2"
"286","Smartphone 555","1","192142","21"
"287","Powerbank 717","1","2832679","54"
"288","Majalah 849","2","2294316","38"
"289","Tas 10","3","733521","12"
"290","Headset 342","1","2911871","50"
"291","Buku Tulis 932","2","1547098","51"
"292","Sepatu 510","3","4453671","95"
"293","Powerbank 837","1","3310304","62"
"294","Jaket 406","3","1828657","29"
"295","Kamera 970","1","2842990","38"
"296","Komik 846","2","3969182","50"
"297","Powerbank 399","1","1456738","11"
"298","Keyboard 358","1","4019054","73"
"299","Tas 571","3","1528775","48"
"300","Monitor 846","1","2639055","75"
"301","Headset 656","1","242392","9"
"302","Tablet 853","1","4427195","20"
"303","Laptop 311","1","3740515","39"
"304","Meja 829","4","1022047","24"
"305","Pulpen 481","6","566122","48"
"306","Microwave 451","1","4237637","68"
"307","Mouse 130","1","4863581","58"
"308","Buku Tulis 210","2","3491814","41"
"309","Powerbank 167","1","2373492","37"
"310","Jam Tangan 80","4","41135","53"
"311","Meja 996","4","4757222","44"
"312","Topi 624","3","2645978","60"
"313","Mouse 839","1","1270805","69"
"314","Printer 131","1","4278183","59"
"315","Majalah 480","2","3004147","33"
"316","Flashdisk 316","1","1743071","1"
"317","Mouse 416","1","3355709","80"
"318","Helm 526","3","930383","56"
"319","Meja 644","4","1047930","67"
"320","Tablet 87","1","3013691","19"
"321","Kursi 85","4","2570485","56"
"322","Sepatu 811","3","1446903","92"
"323","Lampu Meja 245","4","1390112","75"
"324","Flashdisk 313","1","2616285","7"
"325","Jaket 716","3","3106629","74"
"326","Keyboard 681","1","1245835","51"
"327","Keyboard 333","1","806102","52"
"328","Keyboard 109","1","399906","48"
"329","Pulpen 343","6","2424258","8"
"330","Kulkas 84","1","3021987","85"
"331","Lampu Meja 359","4","470268","41"
"332","Microwave 174","1","4339464","30"
"333","Keyboard 419","1","930907","62"
"334","Topi 838","3","465253","50"
"335","Buku Tulis 732","2","4764078","13"
"336","Meja 25","4","2439100","61"
"337","Kamera 266","1","3632706","78"
"338","Tas 505","3","1720155","29"
"339","Earphone 949","1","643790","75"
"340","Tablet 961","1","1957827","68"
"341","Kulkas 810","1","664424","57"
"342","Tablet 801","1","228867","35"
"343","Majalah 639","2","526238","43"
"344","Komik 477","2","1992452","71"
"345","Topi 223","3","1375388","4"
"346","Buku Tulis 265","2","839846","26"
"347","Monitor 327","1","1229276","14"
"348","Komik 822","2","4333162","2"
"349","Headset 972","1","3020397","65"
"350","Earphone 897","1","4591811","11"
"351","Buku Tulis 697","2","1865430","3"
"352","Pulpen 794","6","4643518","38"
"353","Mouse 888","1","1478628","32"
"354","Laptop 324","1","1012713","91"
"355","Sepeda 549","5","4824485","19"
"356","Komik 804","2","1298123","13"
"357","Majalah 976","2","4719136","16"
"358","Sepeda 403","5","2622366","93"
"359","Speaker 673","1","2873926","89"
"360","Meja 251","4","513474","70"
"361","Jam Tangan 895","11","3035503","81"
"362","Kacamata 173","3","4700445","97"
"363","Tas 780","3","2709017","59"
"364","Laptop 775","1","3444653","8"
"365","Monitor 747","1","2461000","49"
"366","Majalah 496","2","1849494","37"
"367","Laptop 320","1","3323256","59"
"368","Smartphone 956","1","3500922","35"
"369","Powerbank 227","1","558792","97"
"370","Kaos 706","3","4767395","76"
"371","Komik 258","2","1771236","25"
"372","Flashdisk 144","1","267622","33"
"373","Majalah 288","2","1672704","51"
"374","Lampu Meja 861","4","1451975","94"
"375","Jam Tangan 442","8","4007072","98"
"376","Speaker 65","1","44445","36"
"377","Sepatu 410","3","2620918","11"
"378","Sepatu 86","3","375728","94"
"379","Lampu Meja 84","4","2537750","67"
"380","Pulpen 462","6","813763","0"
"381","Sepeda 58","5","4715068","73"
"382","Laptop 752","1","4075136","87"
"383","Powerbank 408","1","1598667","92"
"384","Sandal 984","3","2840152","96"
"385","Sepeda 225","5","2340280","99"
"386","Powerbank 903","1","3283244","4"
"387","Printer 664","1","4320553","63"
"388","Meja 404","4","3097191","53"
"389","Majalah 986","2","1957404","45"
"390","Botol Minum 375","7","3701122","78"
"391","Buku Tulis 888","2","1577652","76"
"392","Sandal 332","3","3859008","4"
"393","Kursi 848","4","2333081","16"
"394","Kaos 83","3","3320421","58"
"395","Sandal 816","3","856985","100"
"396","Jam Tangan 33","4","4266950","82"
"397","Tablet 441","1","2525399","13"
"398","Mouse 284","1","3598596","81"
"399","Tablet 748","1","2713446","10"
"400","Kulkas 365","1","1875716","46"
"401","Powerbank 778","1","1572040","55"
"402","Kulkas 618","1","2032959","20"
"403","Jam Tangan 943","8","3175612","22"
"404","Majalah 385","2","559026","93"
"405","Kacamata 314","3","4566020","80"
"406","Kamera 903","1","4874740","25"
"407","Powerbank 734","1","2050901","6"
"408","Kulkas 612","1","4957927","44"
"409","Jaket 998","3","2981602","48"
"410","Smartphone 978","1","1835484","50"
"411","Sandal 978","3","2626397","90"
"412","Kacamata 335","3","542083","56"
"413","Majalah 916","2","816156","93"
"414","Komik 793","2","1153992","13"
"415","Meja 120","4","2920889","28"
"416","Majalah 599","2","1657161","21"
"417","Tablet 39","1","1767039","66"
"418","Laptop 666","1","3298541","78"
"419","Meja 317","4","842379","65"
"420","Majalah 424","2","2438115","68"
"421","Tas 858","3","2187663","50"
"422","Sandal 534","3","3675125","22"
"423","Monitor 795","1","694872","24"
"424","Kamera 872","1","2539612","2"
"425","Sepeda 727","5","3788661","28"
"426","Pulpen 689","6","3005634","46"
"427","Topi 137","3","3193888","22"
"428","Komik 160","2","3080109","87"
"429","Kulkas 682","1","1178743","40"
"430","Kacamata 939","3","3820514","88"
"431","Jam Tangan 951","15","619455","36"
"432","Pulpen 428","6","1694423","12"
"433","Keyboard 986","1","3520331","52"
"434","Kacamata 311","3","1732018","42"
"435","Laptop 52","1","3295860","19"
"436","Monitor 366","1","519811","5"
"437","Kamera 82","1","4912169","37"
"438","Majalah 694","2","2414513","69"
"439","Jam Tangan 139","1","4657870","50"
"440","Tas 488","3","958184","29"
"441","Monitor 271","1","1889610","17"
"442","Jaket 901","3","46719","84"
"443","Kulkas 644","1","808609","62"
"444","Mouse 452","1","1237462","30"
"445","Powerbank 30","1","3238976","49"
"446","Meja 611","4","1142105","75"
"447","Kursi 437","4","850831","58"
"448","Keyboard 901","1","4725270","19"
"449","Komik 503","2","3676734","24"
"450","Powerbank 868","1","201328","42"
"451","Helm 81","3","3552289","90"
"452","Botol Minum 804","1","1459344","25"
"453","Jaket 448","3","4606439","19"
"454","Powerbank 55","1","1785042","4"
"455","Sandal 240","3","4240334","36"
"456","Kacamata 753","3","334383","15"
"457","Powerbank 78","1","3743697","26"
"458","Majalah 241","2","1873949","8"
"459","Earphone 224","1","4903594","55"
"460","Pulpen 720","6","4599890","18"
"461","Kamera 259","1","4060387","33"
"462","Mouse 376","1","1961279","72"
"463","Kursi 88","4","4269985","31"
"464","Majalah 399","2","3717333","3"
"465","Jaket 925","3","522533","98"
"466","Printer 588","1","3581144","99"
"467","Smartphone 10","1","878932","90"
"468","Jam Tangan 40","15","492406","33"
"469","Majalah 915","2","4903098","38"
"470","Sepatu 414","3","1945481","80"
"471","Speaker 647","1","112629","97"
"472","Keyboard 989","1","272016","59"
"473","Tas 536","3","2290224","12"
"474","Pulpen 146","6","4554052","10"
"475","Powerbank 543","1","2542661","63"
"476","Earphone 126","1","4481012","27"
"477","Botol Minum 21","1","4219037","14"
"478","Powerbank 97","1","3854349","14"
"479","Meja 248","4","2062702","27"
"480","Kaos 650","3","3678698","54"
"481","Kacamata 727","3","1165811","58"
"482","Sepeda 699","5","2642958","97"
"483","Laptop 303","1","1065379","85"
"484","Mouse 492","1","2956173","23"
"485","Pulpen 829","6","4712196","26"
"486","Kursi 27","4","2496639","62"
"487","Jam Tangan 698","15","3820940","81"
"488","Buku Tulis 704","2","2218081","91"
"489","Mouse 524","1","2730647","70"
"490","Helm 377","3","868527","9"
"491","Pulpen 120","6","4628678","49"
"492","Botol Minum 861","7","1370748","37"
"493","Mouse 960","1","1911187","15"
"494","Microwave 831","1","3599536","73"
"495","Buku Tulis 880","2","4066032","92"
"496","Komik 727","2","660151","32"
"497","Botol Minum 157","11","3122650","44"
"498","Powerbank 496","1","2885324","54"
"499","Helm 499","3","2077532","17"
"500","Laptop 142","1","1999000","1"
"501","Meja 498","4","1262686","45"
"502","Kaos 894","3","3540702","93"
"503","Mouse 832","1","2847633","5"
"504","Monitor 871","1","3643828","28"
"505","Tas 699","3","660052","90"
"506","Mouse 152","1","3839930","40"
"507","Lampu Meja 97","4","2517200","55"
"508","Jam Tangan 807","5","2687995","91"
"509","Majalah 31","2","677303","24"
"510","Kamera 942","1","4082189","0"
"511","Sandal 429","3","2718556","100"
"512","Meja 44","4","917541","44"
"513","Kulkas 912","1","3602131","5"
"514","Smartphone 827","1","4610016","85"
"515","Meja 528","4","2898143","12"
"516","Printer 200","1","4064893","75"
"517","Sepeda 726","5","1797970","24"
"518","Sepatu 139","3","790888","75"
"519","Smartphone 452","1","1049374","81"
"520","Kacamata 338","3","4958169","51"
"521","Helm 55","3","4533135","74"
"522","Earphone 279","1","3365868","62"
"523","Lampu Meja 324","4","1518679","30"
"524","Mouse 15","1","1408768","70"
"525","Monitor 203","1","2252106","48"
"526","Sepeda 814","5","3041103","1"
"527","Kulkas 315","1","277137","95"
"528","Kacamata 179","3","88378","95"
"529","Earphone 823","1","3703820","14"
"530","Pulpen 960","6","3160023","6"
"531","Lampu Meja 873","4","4281333","89"
"532","Smartphone 461","1","446246","99"
"533","Laptop 285","1","4912705","95"
"534","Microwave 327","1","4916542","22"
"535","Speaker 545","1","4637249","45"
"536","Helm 810","3","316320","2"
"537","Jaket 318","3","424515","49"
"538","Topi 593","3","1808726","18"
"539","Headset 427","1","4557842","21"
"540","Kursi 122","4","3140157","64"
"541","Kaos 709","3","4295881","75"
"542","Earphone 778","1","142151","21"
"543","Mouse 552","1","2884140","50"
"544","Kaos 191","3","279063","34"
"545","Jaket 252","3","4775236","93"
"546","Jam Tangan 737","11","541677","6"
"547","Smartphone 262","1","4818869","62"
"548","Kaos 221","3","1294743","66"
"549","Printer 256","1","3173231","52"
"550","Powerbank 364","1","2590017","12"
"551","Mouse 675","1","3073962","30"
"552","Smartphone 747","1","2496301","61"
"553","Topi 230","3","1254826","11"
"554","Monitor 466","1","3286327","56"
"555","Monitor 58","1","2954675","57"
"556","Flashdisk 439","1","1176110","47"
"557","Helm 589","3","2711172","22"
"558","Kaos 561","3","3666677","38"
"559","Kamera 600","1","4508984","25"
"560","Keyboard 680","1","265530","52"
"561","Speaker 307","1","1292699","66"
"562","Sepatu 398","3","1529897","84"
"563","Kursi 950","4","115669","65"
"564","Laptop 332","1","2225609","69"
"565","Keyboard 877","1","701820","21"
"566","Jaket 436","3","4903219","67"
"567","Tablet 328","1","1507134","44"
"568","Printer 265","1","3614688","75"
"569","Monitor 83","1","2400944","61"
"570","Headset 77","1","1513202","29"
"571","Helm 758","3","2128488","60"
"572","Speaker 503","1","4236351","13"
"573","Kamera 404","1","4899484","21"
"574","Majalah 347","2","1334176","14"
"575","Smartphone 427","1","536985","98"
"576","Meja 605","4","2043292","40"
"577","Botol Minum 596","7","785415","16"
"578","Headset 914","1","3193619","99"
"579","Kamera 703","1","1739188","14"
"580","Helm 454","3","3364894","7"
"581","Kursi 555","4","4585393","56"
"582","Flashdisk 911","1","4343977","86"
"583","Komik 708","2","2095477","88"
"584","Powerbank 133","1","134401","9"
"585","Jam Tangan 125","7","3476555","67"
"586","Jaket 627","3","2893644","41"
"587","Lampu Meja 185","4","4592940","20"
"588","Tas 926","3","4580053","95"
"589","Lampu Meja 401","4","647861","77"
"590","Komik 992","2","141758","7"
"591","Keyboard 498","1","2035761","50"
"592","Powerbank 156","1","88886","90"
"593","Sepatu 123","3","4406854","32"
"594","Tas 748","3","4259694","43"
"595","Kamera 781","1","3879796","61"
"596","Komik 630","2","1074126","94"
"597","Sepeda 45","5","4907048","76"
"598","Kamera 408","1","3098640","33"
"599","Sandal 531","3","1420876","47"
"600","Powerbank 317","1","4751378","73"
"601","Sepeda 815","5","3369631","87"
"602","Jam Tangan 656","1","2400174","47"
"603","Kacamata 281","3","4303958","39"
"604","Powerbank 170","1","4846060","93"
"605","Jaket 838","3","4501793","20"
"606","Powerbank 211","1","618439","35"
"607","Powerbank 4","1","4989543","44"
"608","Pulpen 784","6","3070142","42"
"609","Earphone 43","1","4434133","27"
"610","Topi 878","3","568645","86"
"611","Monitor 823","1","4424148","20"
"612","Sandal 855","3","3130827","50"
"613","Kulkas 637","1","4985745","81"
"614","Earphone 26","1","3580883","11"
"615","Komik 493","2","2839408","22"
"616","Powerbank 618","1","3752863","2"
"617","Meja 99","4","563171","59"
"618","Jam Tangan 784","14","4119686","32"
"619","Kulkas 703","1","4247150","45"
"620","Kacamata 128","3","4282084","63"
"621","Komik 405","2","1999308","34"
"622","Buku Tulis 804","2","1212927","18"
"623","Microwave 944","1","3138382","21"
"624","Smartphone 801","1","2385770","42"
"625","Jam Tangan 992","11","376449","93"
"626","Smartphone 3","1","2053842","80"
"627","Buku Tulis 90","2","4515273","5"
"628","Botol Minum 423","6","2211919","1"
"629","Earphone 813","1","4674529","17"
"630","Kulkas 666","1","4647572","77"
"631","Botol Minum 574","8","4813284","50"
"632","Kamera 505","1","929836","77"
"633","Mouse 804","1","4036436","23"
"634","Helm 728","3","1693968","82"
"635","Tablet 369","1","2810016","87"
"636","Komik 989","2","4587773","62"
"637","Mouse 584","1","4555732","95"
"638","Sandal 635","3","2026908","34"
"639","Jaket 877","3","456622","25"
"640","Kursi 219","4","1631262","96"
"641","Kursi 445","4","2715473","18"
"642","Microwave 222","1","4153300","28"
"643","Kaos 311","3","1693094","77"
"644","Lampu Meja 528","4","2605848","81"
"645","Mouse 810","1","4275650","20"
"646","Kaos 971","3","1172742","77"
"647","Meja 758","4","3363524","12"
"648","Laptop 721","1","2439301","65"
"649","Kulkas 5","1","4439560","58"
"650","Topi 800","3","4729907","98"
"651","Kaos 230","3","1578470","20"
"652","Powerbank 523","1","3923123","58"
"653","Laptop 535","1","2968871","42"
"654","Helm 933","3","3048924","82"
"655","Sandal 935","3","279725","16"
"656","Helm 490","3","897237","36"
"657","Mouse 274","1","1022402","10"
"658","Sandal 391","3","377731","90"
"659","Kaos 374","3","1564767","41"
"660","Kulkas 216","1","1764906","22"
"661","Kacamata 682","3","312671","16"
"662","Powerbank 54","1","1818032","80"
"663","Sepatu 711","3","206680","19"
"664","Kaos 915","3","1324720","33"
"665","Sepatu 182","3","4805733","54"
"666","Pulpen 473","6","2934500","42"
"667","Majalah 933","2","3980800","97"
"668","Helm 433","3","1327541","91"
"669","Jaket 559","3","4379513","86"
"670","Monitor 537","1","1385135","12"
"671","Meja 888","4","428936","26"
"672","Laptop 796","1","4772650","41"
"673","Botol Minum 64","8","40304","76"
"674","Headset 898","1","3038029","59"
"675","Powerbank 938","1","1438673","56"
"676","Sepatu 154","3","1447540","35"
"677","Komik 481","2","1438862","11"
"678","Speaker 864","1","4760419","64"
"679","Speaker 428","1","153496","2"
"680","Speaker 219","1","3808076","13"
"681","Laptop 112","1","687581","13"
"682","Keyboard 841","1","2996585","47"
"683","Sepatu 614","3","1097311","68"
"684","Kacamata 426","3","1985375","99"
"685","Kamera 8","1","4536633","13"
"686","Smartphone 827","1","4708004","12"
"687","Meja 111","4","1785078","51"
"688","Mouse 345","1","2402536","94"
"689","Kulkas 967","1","810318","14"
"690","Smartphone 463","1","2013713","88"
"691","Komik 618","2","4464545","33"
"692","Helm 506","3","4159144","79"
"693","Mouse 397","1","4671794","56"
"694","Earphone 576","1","4421359","42"
"695","Helm 750","3","4861595","18"
"696","Meja 156","4","3874545","61"
"697","Kamera 69","1","2168277","16"
"698","Komik 806","2","1669659","5"
"699","Helm 982","3","2728860","30"
"700","Topi 353","3","3360271","69"
"701","Laptop 651","1","1118215","5"
"702","Mouse 793","1","3577139","54"
"703","Jaket 894","3","1071131","74"
"704","Kursi 202","4","3925881","58"
"705","Sandal 879","3","1567431","37"
"706","Kacamata 743","3","1628353","72"
"707","Monitor 587","1","1621184","8"
"708","Jaket 127","3","1624515","33"
"709","Lampu Meja 425","4","4314929","3"
"710","Monitor 827","1","2063781","84"
"711","Headset 938","1","2899001","81"
"712","Kamera 103","1","2450731","44"
"713","Sepeda 474","5","2174874","31"
"714","Kacamata 843","3","1113594","10"
"715","Komik 930","2","2020340","93"
"716","Majalah 243","2","1480325","31"
"717","Sepeda 4","5","1029845","48"
"718","Kaos 76","3","4445721","2"
"719","Flashdisk 777","1","449957","1"
"720","Jaket 224","3","369308","48"
"721","Majalah 396","2","4491153","99"
"722","Kacamata 252","3","2016278","50"
"723","Tablet 693","1","4232735","40"
"724","Smartphone 826","1","4024718","47"
"725","Headset 846","1","4315779","0"
"726","Mouse 550","1","3119740","78"
"727","Meja 577","4","4372591","78"
